pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
345,0,control,0_control,0,28.63044,10.93149,0.96747,2.49156,0.9339000000000001,0.8133600000000001,0,0,0.30771,0.5209199999999999,0,0.49857,46.09542
50,7,RPS,7_RPS,1.20261,85.21539,31.847009999999997,5.26128,21.999959999999998,7.07145,8.51421,2.8063000000000002,0,1.84398,2.52591,0.42876,16.53345,185.25030999999998
93,7,RPS,7_RPS,3.045,77.2227,40.374930000000006,1.6643400000000002,6.24105,1.63782,6.00126,0.61063,0,0.5804400000000001,1.70835,0.28383,2.9133299999999998,142.28368
97,7,RPS,7_RPS,1.87575,95.03118,52.904039999999995,2.95566,14.15841,3.5561100000000003,12.927959999999999,2.1742,0,1.06995,2.60535,0.22908,5.9747699999999995,195.46246
181,7,RPS,7_RPS,1.10052,89.00298000000001,49.15241999999999,2.7086699999999997,14.49522,2.9124299999999996,12.383339999999999,2.1954700000000003,0,0.753,3.03438,0.42822000000000005,6.79041,184.95705999999998
244,7,RPS,7_RPS,2.1099,99.98457,42.28776,4.69053,21.07056,7.14894,9.790140000000001,3.4776099999999994,0,1.91904,3.5934600000000003,0.34758,8.19372,204.61381
321,7,RPS,7_RPS,1.4719799999999998,97.00137000000002,52.257000000000005,4.6750799999999995,23.77467,6.546060000000001,16.276049999999998,4.2778,0,1.6527599999999998,4.60419,0.31248,5.60412,218.45356000000004
355,7,RPS,7_RPS,0,87.50859000000001,38.82537,2.0745899999999997,11.114370000000001,2.24526,6.08784,0.7570299999999999,0.396,0.69888,5.24634,0.18744,15.294,170.43571
373,7,RPS,7_RPS,2.13084,102.74064,46.34832,3.5323200000000003,13.146180000000001,4.37997,8.553840000000001,1.6432000000000002,0,1.0848900000000001,3.52623,0.33609,11.1042,198.52672
392,7,RPS,7_RPS,2.61252,87.74862,36.87567,3.15627,17.894669999999998,4.06002,8.22063,2.50762,0,1.08105,2.20602,0.21999000000000002,8.42406,175.00714
26,7,Acid,7_Acid,1.57086,82.7013,33.38055,5.11479,23.50482,5.99562,7.81626,2.19631,0,1.61355,2.01258,0.23352,10.061129999999999,176.20129
52,7,Acid,7_Acid,2.3657399999999997,88.36635000000001,36.04599,3.6478200000000003,18.88071,5.01414,9.375509999999998,1.8833799999999998,0,1.3520699999999999,2.92734,0.22701,16.53024,186.61630000000002
126,7,Acid,7_Acid,0,76.37223,36.278639999999996,4.6692599999999995,17.41791,6.92574,7.81386,2.9129500000000004,0,1.7085299999999999,0.62229,0.3252,0.81375,155.86035999999999
152,7,Acid,7_Acid,4.16172,73.48986000000001,32.2455,4.32828,14.25159,6.2091,7.55349,1.0525900000000001,0,1.6488899999999997,0.7956,0.23778,2.5911299999999997,148.56553
178,7,Acid,7_Acid,0,105.25368,48.736650000000004,4.82829,23.02512,7.774230000000001,11.771939999999999,3.7438900000000004,0,1.98717,1.41645,0.321,3.49695,212.35537000000002
